ID,State,Date,Day_of_Week,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response
165460,Alabama,2024-01-02 16:47:15,Sunday,Snowy,Dry,Night,Rural,Crossroads,Run-off-road,Motorcycle,Adult,1,2,48.0,3.81100686,4.210455457,307.6645185,7.756307287,0.293435862,43.0,12.01500745
166316,Alabama,2024-01-03 09:53:57,Tuesday,Foggy,Snowy,Dusk,Street,Intersection,Pedestrian involved,Car,Teenager,5,1,62.0,1.607036842,8.843127811,672.4687673,4.229885409,0.725937544,87.0,24.43281705
166263,Alabama,2024-01-03 14:33:02,Wednesday,Snowy,Dry,Dusk,Freeway,Crossroads,Rollover,Car,Teenager,5,2,59.0,9.314799869,2.198698034,904.1012473,3.657249438,0.716614405,68.0,23.72539993
165635,Alabama,2024-01-05 11:25:26,Sunday,Stormy,Snowy,Night,Street,Roundabout,Rear-end collision,Truck,Adult,3,3,44.0,9.991578133,0.323074778,444.5579617,6.631001207,0.715250135,45.0,21.68469445
166084,Alabama,2024-01-06 01:26:01,Tuesday,Rainy,Wet,Dusk,Freeway,Underpass,Side collision,Bicycle,Teenager,4,3,60.0,8.575960645,1.812254513,305.611874,7.178243421,0.248910783,49.0,11.33413173
166899,Alabama,2024-01-09 05:23:49,Wednesday,Stormy,Wet,Dusk,Urban,Overpass,Cyclist involved,Truck,Adult,1,3,50.144131777625255,3.624419475,3.204186064,774.3129262,4.335750808,0.496904024,7.0,29.45713326
165684,Alabama,2024-01-09 23:42:45,Thursday,Rainy,Muddy,Dusk,Freeway,Crossroads,Head-on collision,Motorcycle,Teenager,1,1,65.0,6.804968596,9.725785445,141.1852786,8.828140818,0.550631749,5.0,11.02547113
165699,Alabama,2024-01-10 17:24:54,Monday,Sunny,Snowy,Dusk,Rural,Overpass,Rear-end collision,Bicycle,Senior,5,1,44.0,8.495910006,0.415578209,242.4184603,9.757985279,0.302655094,72.0,7.539826288
166587,Alabama,2024-01-13 02:33:35,Saturday,Stormy,Snowy,Night,Freeway,Overpass,Rear-end collision,Pedestrian,Senior,5,3,66.0,3.619033402,3.95590516,769.1032504,6.537440033649001,0.141583224,3.0,11.66733014
166775,Alabama,2024-01-15 10:03:44,Wednesday,Stormy,Icy,Dawn,Rural,Roundabout,Pedestrian involved,Motorcycle,Senior,4,0,37.0,4.651464314,6.78442002,618.3101365,5.183788711,0.280493646,72.0,17.498543705
165783,Alabama,2024-01-15 15:16:27,Sunday,Foggy,Muddy,Night,Street,Crossroads,Head-on collision,Bicycle,Adult,5,2,53.0,7.148058303,8.413477052,311.8810284,3.685277424,0.858078176,40.0,6.141505274
165575,Alabama,2024-01-16 19:24:30,Monday,Foggy,Dry,Night,Street,Underpass,Head-on collision,Bicycle,Young Adult,2,0,40.0,9.947320297,7.556069631,342.474166,7.494107988,0.706176618,16.0,16.20380146
166320,Alabama,2024-01-22 17:35:07,Saturday,Snowy,Wet,Dusk,Street,Underpass,Side collision,Bicycle,Adult,5,0,45.0,0.693850065,9.856346324,774.3645969,4.738492758,0.107014777,49.0,26.53892692
166452,Alabama,2024-01-23 08:35:56,Saturday,Foggy,Snowy,Daylight,Highway,Crossroads,Pedestrian involved,Pedestrian,Adult,5,1,50.144131777625255,8.343000542,0.181102264,978.1631305,6.345784236,0.499677863,6.0,9.547206209
